timestamp,name,stone,path,augment 1,augment 2,augment 3,augment 4,augment5
2016:10:07 18:45:09,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+27,Magic burst mdg.+5%,CHR+6,Mag. Acc.+13,none
2016:10:07 18:45:15,Merlinic Crackows,pellucid,magic,Mag. Acc.+5,"Drain" and "Aspir" potency +10,"Mag.Atk.Bns."+1,none,none
2016:10:07 18:45:21,Merlinic Crackows,pellucid,magic,Attack+9,CHR+7,Mag. Acc.+6,"Mag.Atk.Bns."+2,none
2016:10:07 18:45:27,Merlinic Crackows,pellucid,magic,Mag. Acc.+10 "Mag.Atk.Bns."+10,none,none,none,none
2016:10:07 18:45:32,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+6,INT+5,none,none,none
2016:10:07 18:45:37,Merlinic Crackows,pellucid,magic,Mag. Acc.+12 "Mag.Atk.Bns."+12,INT+5,Mag. Acc.+5,none,none
2016:10:07 18:45:43,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+8,Mag. Acc.+4,none,none,none
2016:10:07 18:45:48,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+17,CHR+9,none,none,none
2016:10:07 18:45:53,Merlinic Crackows,pellucid,magic,Mag. Acc.+21 "Mag.Atk.Bns."+21,"Conserve MP"+3,CHR+3,none,none
2016:10:07 18:45:59,Merlinic Crackows,pellucid,magic,Mag. Acc.+11,"Fast Cast"+1,"Mag.Atk.Bns."+2,none,none
2016:10:07 18:46:04,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+25,Mag. crit. hit dmg. +10%,CHR+5,Mag. Acc.+3,none
2016:10:07 18:46:11,Merlinic Crackows,pellucid,magic,Mag. Acc.+6,"Drain" and "Aspir" potency +8,"Mag.Atk.Bns."+14,none,none
2016:10:07 18:46:17,Merlinic Crackows,pellucid,magic,Mag. Acc.+22,Enmity-2,"Mag.Atk.Bns."+13,none,none
2016:10:07 18:46:22,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+15,INT+6,Mag. Acc.+11,none,none
2016:10:07 18:46:28,Merlinic Crackows,pellucid,magic,Mag. Acc.+22,Magic Damage +12,MND+6,"Mag.Atk.Bns."+13,none
2016:10:07 18:46:34,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+12,Mag. Acc.+7,none,none,none
2016:10:07 18:46:40,Merlinic Crackows,pellucid,magic,Mag. Acc.+20 "Mag.Atk.Bns."+20,"Fast Cast"+1,none,none,none
2016:10:07 18:46:46,Merlinic Crackows,pellucid,magic,Accuracy+16,AGI+9,none,none,none
2016:10:07 18:46:52,Merlinic Crackows,pellucid,magic,Mag. Acc.+28,"Mag.Atk.Bns."+7,none,none,none
2016:10:07 18:46:59,Merlinic Crackows,pellucid,magic,Mag. Acc.+9,"Drain" and "Aspir" potency +10,MND+10,none,none
2016:10:07 18:47:05,Merlinic Crackows,pellucid,magic,Mag. Acc.+22,Magic Damage +8,none,none,none
2016:10:07 18:47:10,Merlinic Crackows,pellucid,magic,Mag. Acc.+19 "Mag.Atk.Bns."+19,"Occult Acumen"+3,Mag. Acc.+13,none,none
2016:10:07 18:47:17,Merlinic Crackows,pellucid,magic,Attack+6,Magic dmg. taken -2%,"Mag.Atk.Bns."+7,none,none
2016:10:07 18:47:23,Merlinic Crackows,pellucid,magic,Mag. Acc.+18 "Mag.Atk.Bns."+18,Magic burst mdg.+1%,INT+7,Mag. Acc.+12,none
2016:10:07 18:47:30,Merlinic Crackows,pellucid,magic,Mag. Acc.+30,Phys. dmg. taken -1%,"Mag.Atk.Bns."+4,none,none
2016:10:07 18:47:37,Merlinic Crackows,pellucid,magic,Mag. Acc.+15,CHR+7,"Mag.Atk.Bns."+1,none,none
2016:10:07 18:47:42,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+9,Magic burst mdg.+3%,Mag. Acc.+4,none,none
2016:10:07 18:47:47,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+13,none,none,none,none
2016:10:07 18:47:52,Merlinic Crackows,pellucid,magic,Mag. Acc.+17,"Drain" and "Aspir" potency +2,INT+5,none,none
2016:10:07 18:47:58,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+14,MND+5,Mag. Acc.+15,none,none
2016:10:07 18:48:04,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+10,none,none,none,none
2016:10:07 18:48:09,Merlinic Crackows,pellucid,magic,Accuracy+23,MND+2,none,none,none
2016:10:07 18:48:14,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+17,Enmity-2,CHR+7,none,none
2016:10:07 18:48:20,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+25,Mag. Acc.+7,none,none,none
2016:10:07 18:48:25,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+27,CHR+5,none,none,none
2016:10:07 18:48:31,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+12,"Fast Cast"+2,none,none,none
2016:10:07 18:48:38,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+25,CHR+4,Mag. Acc.+10,none,none
2016:10:07 18:48:44,Merlinic Crackows,pellucid,magic,Mag. Acc.+7 "Mag.Atk.Bns."+7,"Occult Acumen"+8,none,none,none
2016:10:07 18:48:50,Merlinic Crackows,pellucid,magic,Mag. Acc.+5,CHR+3,none,none,none
2016:10:07 18:48:56,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+11,"Occult Acumen"+8,CHR+9,Mag. Acc.+10,none
2016:10:07 18:49:02,Merlinic Crackows,pellucid,magic,Mag. Acc.+30,INT+4,none,none,none
2016:10:07 18:49:09,Merlinic Crackows,pellucid,magic,Mag. Acc.+30,Enmity-2,MND+8,"Mag.Atk.Bns."+7,none
2016:10:07 18:49:15,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+10,Magic Damage +12,INT+2,none,none
2016:10:07 18:49:22,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+17,"Conserve MP"+7,INT+7,Mag. Acc.+13,none
2016:10:07 18:49:27,Merlinic Crackows,pellucid,magic,Attack+9,MND+8,none,none,none
2016:10:07 18:49:32,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+24,MND+8,none,none,none
2016:10:07 18:49:38,Merlinic Crackows,pellucid,magic,Mag. Acc.+23,Mag. crit. hit dmg. +2%,MND+5,none,none
2016:10:07 18:49:46,Merlinic Crackows,pellucid,magic,Accuracy+21,Phys. dmg. taken -1%,Mag. Acc.+12,"Mag.Atk.Bns."+1,none
2016:10:07 18:49:52,Merlinic Crackows,pellucid,magic,Mag. Acc.+19,"Occult Acumen"+5,CHR+6,"Mag.Atk.Bns."+11,none
2016:10:07 18:49:57,Merlinic Crackows,pellucid,magic,Mag. Acc.+15,Magic dmg. taken -2%,MND+1,none,none
2016:10:07 18:50:03,Merlinic Crackows,pellucid,magic,Mag. Acc.+7,Magic burst mdg.+4%,CHR+5,"Mag.Atk.Bns."+7,none
2016:10:07 18:50:09,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+28,"Drain" and "Aspir" potency +5,none,none,none
2016:10:07 18:50:15,Merlinic Crackows,pellucid,magic,Attack+20,"Conserve MP"+7,"Mag.Atk.Bns."+14,none,none
2016:10:07 18:50:20,Merlinic Crackows,pellucid,magic,Mag. Acc.+23 "Mag.Atk.Bns."+23,"Conserve MP"+1,CHR+7,none,none
2016:10:07 18:50:26,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+2,Mag. crit. hit dmg. +1%,CHR+4,Mag. Acc.+15,none
2016:10:07 18:50:32,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+8,Mag. crit. hit dmg. +2%,Mag. Acc.+10,none,none
2016:10:07 18:50:38,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+15,Mag. crit. hit dmg. +2%,Mag. Acc.+6,none,none
2016:10:07 18:50:43,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+30,CHR+3,Mag. Acc.+2,none,none
2016:10:07 18:50:49,Merlinic Crackows,pellucid,magic,Mag. Acc.+1 "Mag.Atk.Bns."+1,Mag. crit. hit dmg. +6%,"Mag.Atk.Bns."+10,none,none
2016:10:07 18:50:55,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+29,Phys. dmg. taken -1%,Mag. Acc.+5,none,none
2016:10:07 18:51:00,Merlinic Crackows,pellucid,magic,"Mag.Atk.Bns."+20,"Conserve MP"+2,none,none,none
2016:10:07 18:51:06,Merlinic Crackows,pellucid,magic,Mag. Acc.+24 "Mag.Atk.Bns."+24,Magic Damage +15,INT+8,"Mag.Atk.Bns."+3,none
